Award_Id,Year,Movie_Id
1,2002,1
2,2002,1
3,2002,1
4,2002,1
5,2002,1
6,2008,2
7,2008,2
8,2007,2
9,2008,3
10,2007,5
11,2007,6
12,2001,7
6,2007,8
1,2004,11
13,2009,14
14,2009,14
15,2008,14
2,2003,18
16,2004,18
17,2011,22
18,2011,22
19,2011,27
20,2011,29
21,2012,30
22,2014,33
23,2014,33
6,2012,34
24,2011,34
25,2012,35
26,2012,35
28,2020,38
29,2014,38
30,2015,39
31,2015,39
32,2014,40
33,2014,40
34,2013,40
35,2016,42
36,2015,43
37,2015,43
38,2017,44
29,2017,45
18,2018,45
39,2019,46
40,2019,46
1,2019,46
41,2019,46
5,2019,46
42,2020,47
43,2020,47
